identifier	dna_number	gene_name	forward_primers	reverse_primers
SEQID00000708	2245	28S	D1, D1	D3, D3
SEQID00006540	1714	28S	D1	D3
SEQID00006608	0608	WG		
SEQID00005734	0527	28S	D1	D33-
SEQID00002067	1001	28S		
SEQID00001455	2258	WG	WG578F	WGABR
SEQID00004233	0577	WG		
SEQID00002517	2853	28S	D1	D3
SEQID00000592	1624	COI	JER, B1490, JER, B1490, B1490	PAT, PAT, B2232
SEQID00005171	1716	18S	18SAI, 760F, 518S, 18SBI	909R, 18L
SEQID00002430	0755	28S	D1	D33-
SEQID00001290	2179	CAD	CD821F, CD821F	C1098R, C1098R
SEQID00003512	0342	WG	WG550F	WGABRZ
SEQID00006734	2421	28S	NLF184	D3AR
SEQID00005973	2839	WG	WG578F, WG578F	WGABR, WGABR
SEQID00001459	2390	28S	D1	D3
SEQID00006062	1514	28S	D1, D1	D3, D3
SEQID00000457	0749	28S	D1	D33-
SEQID00000723	2220	28S	D1	D3
SEQID00003327	0161	18S		
SEQID00003116	2836	CAD	CD806F	C1098R2
SEQID00000012	1347	ARGK	AK183F	AK933R
SEQID00002162	0465	28S	D1, NLF184	D33-, D3AR
SEQID00001639	2189	COI	JER, B1490	BCOI2R, PAT
SEQID00003769	0754	WG		WGB, WG2
SEQID00004998	4691	CAD	CD806F, CD439F	C1098R2, CD668R
SEQID00004873	0699	28S	D1	D33-
SEQID00003111	1602	AS		
SEQID00003637	2074	18S	518S, 18SBI, 760F, 18SAI	18L, 909R
SEQID00002202	2122	MSP	MSP2F	MSP1R
SEQID00005719	1399	WG	WG578F	WGABR
SEQID00000596	1700	28S	D1	D3
SEQID00001077	1209	ARGK	AK270F	AK950R
SEQID00002705	1855	WG	WG578F	WGABR
SEQID00000530	1281	CAD	806F	1098R
SEQID00000130	2878	MSP	MSP2F	MSP1R
SEQID00005167	2146	ARGK	AK168F	AK939R
SEQID00004828	1411	WG	B5WG1	B3WG2
SEQID00000602	2331	28S	D1	D3
SEQID00000983	2384	ARGK	AK183F	AK933R
SEQID00004524	2146	WG	WG550F	WGABRZ
SEQID00004387	3060	ARGK	AK183F	AK933R
SEQID00004146	1421	18S	18SBI, 18SAI, 518S, 760F	909R, 18L
SEQID00002058	2104	28S	D1	D3
SEQID00000746	2871	CAD	CD806F, CD806F, CD439F	CD668R, CD1098R2, CD1098R2
SEQID00002633	1356	ARGK	AK270F	AK950R
SEQID00002989	2879	WG	WG578F	WGABR
SEQID00000601	2053	CAD	CD439F, CD821F	1098R2, CD688R
SEQID00004801	3998	ARGK	AK183F	AK933R
SEQID00004702	3513	28S	NLF184	D3AR
SEQID00001897	2935	CAD	CD806F	C1098R2
SEQID00001555	3079	28S	D1, D1, NLF184, LS1F	D3, D3AR, D3L, LS1R
SEQID00005017	2305	MSP	MSP2F	MSP1R
SEQID00005477	0636	WG		
SEQID00001769	1561	18S	18SBI, 760F, 18SAI, 518S	18L, 909R
SEQID00004042	2612	TOPO	TP675F	TP932R
SEQID00000952	0744	28S	D1	D33-
SEQID00003539	3239	28S	D1	LS1R
SEQID00004719	3291	CAD	CD806F	CD1098R2
SEQID00001420	1321	WG	WG578F	WGABR
SEQID00004630	2492	COI	LCO1490	HCO2198
SEQID00006652	0585	CAD	CD439F, 806F	CD668R, 1098R
SEQID00005027	2056	MSP	MSP2F	MSP1R
SEQID00006095	2346	COI	LC1490	HC2198
SEQID00002464	2760	TOPO	TP675F	TP932R
SEQID00001551	3089	ARGK	AK183F	AK933R
SEQID00002004	2846	MSP	MSP1F, MSP2F, MSP2F	MSP1R, MSP1R, MSP1R
SEQID00003326	2019	TOPO	TP675F	TP932R
SEQID00003872	1314	ARGK	AK270F	AK950R
SEQID00005761	0791	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00001412	2701	CAD	806F	1098R2
SEQID00002272	1084	18S	18SBI, 518S, 18SAI, 760F	909R, 18L
SEQID00004169	1440	TOPO	TP675F	TP932R
SEQID00002820	1205	28S	D1	D3
SEQID00000254	1120	WG	WG578F, 5WGB	3WG2, WGABR
SEQID00003248	1597	ARGK	AK270F	AK950R
SEQID00001184	1349	18S	518S, 18SBI, 760F, 18SAI	909R, 18L
SEQID00006118	2392	CAD	CD806F	1098R2
SEQID00004482	2068	18S	760F, 18SAI, 18SBI, 518S	18L, 909R
SEQID00002667	1909	COI	B1490, JER	PAT, BCOI2R
SEQID00000842	2044	WG	WG578F	WGABR
SEQID00003748	1797	ARGK	AK270F	AK950R
SEQID00004413	1868	28S	D1	D3
SEQID00001654	1801	ARGK	AK270F	AK950R
SEQID00003176	1411	COI	B1490, LC1490	BCOI2R, HC2198
SEQID00003239	1508	18S	518S, 18SBI, 760F, 18SAI	18L, 909R
SEQID00001564	2483	COI	LCO1490	HCO2198
SEQID00001674	0456	28S	D1, NLF184	D33-, D3AR
SEQID00004041	2208	18S	760F, 18SBI, 518S, 18SAI	18L, 909R
SEQID00000331	2948	28S	NLF184	D3AR
SEQID00005564	2599	TOPO	TP675F	TP932R
SEQID00003853	2220	TOPO	TP675F	TP932R
SEQID00001799	0989	WG		
SEQID00006510	1615	WG	WGYF	WGABR
SEQID00001880	1497	28S	NLF184, D1	D33-, D3AR
SEQID00004057	1422	WG	WG578F	WGABR
SEQID00002052	2166	28S	D1	D3
SEQID00005355	2911	CAD	CD806F	CD1098R2
SEQID00003400	1498	COI	JER, JER, B1490, B1490, JER	B2232, PAT, PAT, B2232, PAT
SEQID00001032	1348	TOPO	TP675F	TP932R
SEQID00005616	2690	28S	D1	D3
SEQID00004191	1414	COI	B1490	BCOI2R
SEQID00000987	2875	MSP	MSP2F	MSP1R
SEQID00001174	2882	28S	NLF184, NLF184, NLF184	D3AR, D3AR, D3AR
SEQID00002009	2654	28S	NLF184, NLF184	D3AR, D3AR
SEQID00004717	1282	TOPO	TP675F	TP932R
SEQID00004417	4002	18S		
SEQID00002047	0955	28S	D1MOD	D3
SEQID00005655	1726	28S	D1	D3
SEQID00004920	0303	18S		
SEQID00004176	1747	CAD	791F2	1098R
SEQID00005419	1499	COI	JER, B1490	B2232, PAT
SEQID00000533	2366	WG	WG578F	WGABR
SEQID00003959	1848	COI	B1490, JER, LCO1490	B2232, PAT, HCO2198
SEQID00004192	1718	MSP	MSP2F	MSP1R
SEQID00004317	0351	18S		
SEQID00002003	0353	CAD	CD821F	C1098R2
SEQID00004002	1464	ARGK	AK270F, AK260F	AK950R, AK950R
SEQID00003599	1538	COI	JER, JER, B1490	PAT, PAT, B2232
SEQID00003705	3284	CAD	CD439F, CD806F	C1098R2, CD668R
SEQID00001827	3595	CAD	CD439F, CD806F	CD668R, C1098R2
SEQID00001079	1460	COI	LC1490	HC2198
SEQID00002474	2877	CAD	CD806F, CD806F	CD1098R2, CD1098R2
SEQID00005673	2336	CAD	806F3	C1129R
SEQID00000517	2678	WG	WG550F	WGABRZ
SEQID00005726	1359	18S	18SBI, 518S, 760F, 18SAI	18L, 909R
SEQID00004516	3071	MSP	MSP2F	MSP1R
SEQID00000347	0823	28S	D1, NLF184	D33-, D3AR
SEQID00000722	1859	CAD	CD338F, C581F4, C806F3	C843R, C1129R, C680R2
SEQID00002999	2327	CAD	CD821F	C1098R
SEQID00000063	1405	WG	WG578F	WGABR
SEQID00006733	3071	ARGK	AK183F	AK933R
SEQID00005499	2058	CAD	CD806F	1098R2
SEQID00000736	2383	28S	D1	D3
SEQID00000251	2852	28S	D1	D3
SEQID00001375	1969	COI	LC1490	HC2198
SEQID00004359	1617	WG	WG578F	WGABR
SEQID00000587	1676	28S	D1	D3
SEQID00001581	1311	WG	WG550F	WGABRZ
SEQID00001387	0691	28S		D33-, D33-
SEQID00005450	1598	COI	JER, B1490	B2232, PAT
SEQID00000395	3984	TOPO	TP643F	TP932R
SEQID00001818	4693	CAD	CD806F, CD439F	C1098R2, CD668R
SEQID00005206	2785	28S	NLF184	D3AR
SEQID00005696	0558	28S	D1, NLF184	D33-, D3AR
SEQID00002214	1250	18S	1055F, 518S, 760F, 18SAI, 18SBI	18L, 519R, 18L
SEQID00002981	1601	COI	B1490, JER	B2232, PAT
SEQID00004984	1040	28S		
SEQID00002605	2104	TOPO	TP675F	TP932R
SEQID00004236	3248	28S	NLF184	D3AR
SEQID00000937	2027	COI	B1490	BCOI2R
SEQID00003370	2744	TOPO	TP675F	TP932R
SEQID00002391	3096	28S	NLF184	D3AR
SEQID00001777	2674	ARGK	AK183F	AK933R
SEQID00002462	1305	ARGK	AK270F	AK950R
SEQID00002276	1964	28S	D1	D3
SEQID00000817	2650	CAD	CD806F	1098R2
SEQID00005602	1536	WG	WG578F, B5WG1	B3WG2, WGABR
SEQID00006222	0452	28S	D1	D33-
SEQID00005223	0045	28S	D1MOD	D33
SEQID00003578	2803	TOPO	TP675F	TP932R
SEQID00001499	2604	28S	D1, D1	D3, D3
SEQID00006529	2000	TOPO	TP675F	TP932R
SEQID00005961	1931	WG	WG578F	WGABR
SEQID00004274	3254	CAD	CD806F	C1098R2
SEQID00003471	1236	TOPO		
SEQID00006185	3070	CAD	CD806F	C1098R2
SEQID00003204	1999	28S	D1	D3
SEQID00001948	2188	COI	B1490	BCOI2R
SEQID00002561	2821	COI	B1490	BCOI2R
SEQID00004899	2759	ARGK	AK183F	AK933R
SEQID00006057	3597	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00004612	2052	CAD	CD806F	1098R2
SEQID00004253	3761	28S	NLF184	D3AR
SEQID00001066	2069	MSP	MSP2F	MSP1R
SEQID00006308	1780	ARGK		
SEQID00003177	1402	28S	D1	D3
SEQID00002458	3249	WG	WG550F	WGABRZ
SEQID00005047	2380	CAD	CD806F	1098R2
SEQID00000797	2015	TOPO	TP675F	TP932R
SEQID00000892	3514	WG	WG578F	WGABR
SEQID00001401	1245	28S	D1	D33
SEQID00004434	3513	CAD	CD806F	CD1098R2
SEQID00003986	1655	COI	B1490, JER	B2232, PAT
SEQID00005055	1428	ARGK	AK270F	AK950R
SEQID00003057	1637	18S	760F, 518S, 18SBI, 18SAI	909R, 18L
SEQID00002917	2138	WG	WG550F	WGABRZ
SEQID00005434	1637	28S	D1	D3
SEQID00006731	2279	18S	18SAI, 18SBI, 760F, 518S	909R, 18L
SEQID00001672	0141	WG		
SEQID00003873	2661	18S	18SBI, 518S, 760F, 18SAI	909R, 18L
SEQID00003050	1994	COI	LC1490	HC2198
SEQID00004972	2674	TOPO	TP675F	TP932R
SEQID00005044	2690	COI	B1490	BCOI2R
SEQID00002815	1010	WG		WGB, WG2
SEQID00006576	1763	CAD	CD821F, CD821F	C1098R, C1098R
SEQID00003717	2286	CAD	806F, CD821F	1098R, C1098R
SEQID00001287	1426	CAD	791F2, 581F2	843R, 1098R
SEQID00004207	1842	WG	WG578F	WGABR
SEQID00002556	1800	COI	B1490, JER	PAT, B2232
SEQID00000087	2726	CAD	CD806F	1098R2
SEQID00001980	2665	28S	NLF184, D1, NLF184, D1	D3, D3AR, D3, D3AR
SEQID00004035	3285	COI	LC1490	HC2198
SEQID00002643	2066	TOPO	TP675F	TP932R
SEQID00004354	2654	WG	WG550F, WG578F, WG550F	WGABR, WGABRZ, WGABRZ
SEQID00005960	2430	28S	D1	D3
SEQID00003080	0453	28S	D1	D33-
SEQID00004560	0838	28S	D1, NLF184	D3AR, D33-
SEQID00004699	0814	18S	18SAI, 18SBI, 518S, 760F	909R, 18L
SEQID00001793	2385	WG	WG578F	WGABR
SEQID00000211	0674	28S	D1	D33-
SEQID00000669	2357	TOPO	TP643F, TP675F	TP932R, TP932R
SEQID00006554	2247	CAD	C1031F, CD821F, CD439F	C1231R, C1098R, CD688R
SEQID00003130	1289	COI	B1490, JER, B1490	HC2198, BCOI2R, PAT
SEQID00003387	0116	WG	WG1	WG2
SEQID00000663	2386	COI	B1490	BCOI2R
SEQID00001091	2341	COI	LC1490	HC2198
SEQID00006320	3922	COI	LC1490	HC2198
SEQID00000252	1992	CAD	CD806F, CD806F, CD439F	CD668R, CD1098R2, CD1098R2
SEQID00002264	1859	COI	JER, B1490	PAT, BCOI2R
SEQID00004480	1649	COI	B1490, JER	PAT, B2232
SEQID00003086	0667	28S	D1	D33-
SEQID00004508	2439	WG	WG578F	WGABR
SEQID00002300	1423	WG	5WGB	B3WG2
SEQID00004997	2902	28S	NLF184	D3AR
SEQID00000813	2603	CAD	CD806F	1098R2
SEQID00003405	1556	COI	JER, B1490	B2232, PAT
SEQID00003476	2802	28S	D1	D3
SEQID00000289	0754	28S	D1	D33-
SEQID00003992	1715	COI	LC1490, B1490, B1490	BCOI2R, BCOI2R, HC2198
SEQID00005793	1556	ENOLASE		
SEQID00004222	1422	CAD	CD439F, 791F2	CD688R, 1098RA
SEQID00003436	1072	28S	NLF184, D1	D33-, D3AR
SEQID00002620	1072	CAD	CD806F, CD439F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00001449	1213	ARGK	AK270F	AK950R
SEQID00006351	2874	28S	NLF184, NLF184	D3AR, D3AR
SEQID00002674	2885	WG	WG578F	WGABR
SEQID00001116	2892	ARGK	AK183F	AK933R
SEQID00003980	2182	COI	B1490, JER	BCOI2R, PAT
SEQID00003915	1409	WG	WG578F	WGABR
SEQID00004600	2492	28S	NLF184, D1, D1	D3, D3AR, D3
SEQID00003285	2042	WG	WG578F	WGABR
SEQID00000084	1386	COI	B1490, LC1490	HC2198, BCOI2R
SEQID00003015	1342	28S	D1	D33
SEQID00004573	0782	18S	518S, 18SBI, 18SAI, 515F	519R, 18L
SEQID00004848	2967	COI	LC1490	HC2198
SEQID00004994	2144	COI	LC1490, B1490	BCOI2R, HC2198
SEQID00000899	2878	ARGK	AK183F	AK933R
SEQID00001997	0320	WG	WG550F	WGABRZ
SEQID00003206	1749	WG	WG578F	WGABR
SEQID00002720	2245	WG	WG578F	WGABR
SEQID00002522	0839	WG	5WGB, WG550F	WGABRZ, B3WG2
SEQID00001233	2051	28S	D1	D3
SEQID00003419	2613	TOPO	TP675F	TP932R
SEQID00004304	2603	28S	D1, D1	D3, D3
SEQID00000367	2864	WG	WG578F	WGABR
SEQID00003428	0573	MSP	MSP2F, MSP2F	MSP1R, MSP1R
SEQID00002589	2893	28S	NLF184, NLF184	D3AR, D3AR
SEQID00005662	2926	WG	WG578F	WGABR
SEQID00004860	2385	TOPO	TP675F	TP932R
SEQID00002274	1247	COI	B1490, JER	B2232, PAT
SEQID00000999	2835	COI	B1490	BCOI2R
SEQID00006360	3168	18S	518S, 760F, 18SBI, 18SAI	18L, 909R
SEQID00002483	1959	MSP	MSP2F	MSP1R
SEQID00004407	1452	WG	WG578F	WGABR
SEQID00006688	1443	ARGK	AK270F	AK950R
SEQID00002996	2220	18S	760F, 18SAI, 518S, 18SBI	909R, 18L
SEQID00002541	2577	WG	WG550F	WGABRZ
SEQID00005560	2176	28S	D1	D3
SEQID00002365	2078	CAD	C806F3, C806F3, 806F	C1129R, 1098R, C1129R
SEQID00006462	2657	ARGK	AK168F	AK939R
SEQID00001667	2120	COI	B1490	BCOI2R
SEQID00004775	1897	ENOLASE		
SEQID00001570	2167	18S	760F, 18SBI, 18SAI, 518S	18L, 909R
SEQID00002799	0823	CAD	CD439F, C806F3, C806F3	C1129R, CD688R, C1129R
SEQID00001947	2356	TOPO	TP675F	TP932R
SEQID00004976	0718	CAD	CD439F, CD806F, CD806F	CD1098R2, CD1098R2, CD668R
SEQID00004363	0878	WG	WG578F	WGABR
SEQID00004655	1772	WG	WG578F	WGABR
SEQID00004014	1216	COI	B1490, JER	PAT, B2232
SEQID00000160	1693	18S	760F, 18SBI, 518S, 18SAI	909R, 18L
SEQID00000547	1425	ARGK	AK270F	AK950R
SEQID00001766	1903	28S	D1	D3
SEQID00000767	0688	28S	D1	D33-
SEQID00001421	2011	TOPO	TP675F	TP932R
SEQID00002909	3023	COI	B1490	BCOI2R
SEQID00003256	2083	ARGK	AK270F	AK950R
SEQID00001189	1508	COI	JER, B1490	B2232, PAT
SEQID00003667	2868	WG	WG578F	WGABR
SEQID00001291	0690	CAD	CD806F, CD439F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00004012	1288	ARGK	AK270F	AK950R
SEQID00000299	4393	CAD	CD806F, CD439F	CD668R, C1098R2
SEQID00003346	2033	28S	D1	D3
SEQID00006035	3060	CAD	CD821F	C1098R2
SEQID00006625	3239	COI		
SEQID00006128	1475	ARGK	AK183F	AK933R
SEQID00005770	1658	28S	D1	D3
SEQID00005172	0396	WG	WG1	WG2
SEQID00000055	1799	18S	760F, 518S, 18SAI, 18SBI	909R, 18L
SEQID00003106	3522	28S	D1, LS1F	LS1R, D3L
SEQID00002623	2603	TOPO	TP675F, TP643F	TP932R, TP932R
SEQID00005130	1183	COI	B1490	BCOI2R
SEQID00004593	3922	18S	760F, 518S, 18SBI, 18SAI	18L, 909R
SEQID00006579	2101	CAD	806F	1098R
SEQID00001622	1332	COI	JER, B1490	PAT, B2232
SEQID00001379	1911	ARGK	AK183F, AK270F	AK933R, AK950R
SEQID00000330	0993	WG		
SEQID00001385	2726	ARGK	AK183F	AK933R
SEQID00006580	1005	WG		WG2, WGB
SEQID00000095	0315	28S	D1, D1	D3, D33-
SEQID00006532	2169	TOPO	TP675F	TP932R
SEQID00001365	1630	18S	18SBI, 18SAI, 518S, 760F	909R, 18L
SEQID00006512	1956	28S	D1	D3
SEQID00003945	1322	WG	WG578F	WGABR
SEQID00000221	1974	28S	D1	D3
SEQID00000339	2438	CAD	CD806F, CD806F	CD1098R2, CD1098R2
SEQID00002823	1913	28S	D1	D3
SEQID00005466	3070	TOPO	TP675F	TP932R
SEQID00000286	0236	28S	D1, D1	D33-
SEQID00001446	1988	ARGK	AK183F	AK933R
SEQID00001638	0141	28S	D1	D33-
SEQID00003215	1846	18S	18SAI, 760F, 18SBI, 518S	18L, 909R
SEQID00000851	2957	18S	18SBI, 760F, 18SAI, 518S	909R, 18L
SEQID00000776	2077	28S		
SEQID00001163	1495	WG	TRWG1F	BWGA2R
SEQID00006208	1498	28S	D1	D33-
SEQID00004535	0743	WG	WG1	WGB, WG2, WG2
SEQID00003041	0314	28S	D1	D33-
SEQID00004890	2145	28S	D1	D3
SEQID00005444	0768	WG		WGB, WG2
SEQID00005506	3199	CAD	CD806F, CD439F, CD806F	C1098R2, C1098R2, CD688R
SEQID00005883	2967	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00004607	1682	28S	D1	D3
SEQID00003657	1566	MSP	MSP2F	MSP1R
SEQID00000205	3009	28S	NLF184	D3AR
SEQID00001504	1171	28S	D1	D33
SEQID00004995	2368	TOPO	TP675F	TP932R
SEQID00000410	2554	28S	NLF184	D3AR
SEQID00004544	2041	28S	D1	D3
SEQID00005196	2509	COI	LC1490	HC2198
SEQID00002355	0154	18S		
SEQID00003998	0661	28S	D1, D1	D33-
SEQID00005775	3560	CAD	CD806F	C1098R2
SEQID00001076	0713	CAD	CD806F, CD439F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00005389	4081	COI	LC1490, LC1490	HC2198, HC2198
SEQID00003897	0360	18S		
SEQID00006572	1452	18S	518S, 760F, 18SAI, 18SBI	18L, 909R
SEQID00006323	2761	TOPO	TP675F	TP932R
SEQID00002191	2249	WG	WG578F, WG578F	WGABR, WGABR
SEQID00003866	2166	POL2		
SEQID00001900	1038	WG		WG2, WGB
SEQID00003937	0676	28S	D1, D1	D3, D33-
SEQID00006000	2605	CAD	CD806F	1098R2
SEQID00006752	0716	WG	WG1	WG2, WGB, WG2
SEQID00004092	2497	TOPO	TP675F	TP932R
SEQID00001185	1553	28S	D1	D3
SEQID00003658	2775	CAD	CD806F	C1098R2
SEQID00004339	1451	WG	5WGB, WG550F, 5WGB	B3WG2, WGABRZ, B3WG2
SEQID00006266	1401	COI	JER, LC1490	HC2198, PAT
SEQID00000657	1474	28S	D1MOD, D2F, D1, D1MOD, D1MOD, D1, D1	D33-, D3R, D3R, D2R, D33-, D3, D3R
SEQID00003803	1754	ENOLASE		
SEQID00002013	0315	CAD	CD821F, CD439F	CD688R, C1098R2
SEQID00001268	0820	WG		
SEQID00000808	1490	WG	WG578F	WGABR
SEQID00003093	0575	18S	18SBI, 18SBI, 18SAI, 518S, 760F, 1055F, 518S, 18SAI	519R, 909R, 18L, 18L
SEQID00003154	2312	CAD	C806F3, CD821F	C1129R, C1098R
SEQID00000051	2792	CAD	CD806F	C1098R2
SEQID00006143	2898	COI	B1490	BCOI2R
SEQID00002309	0573	18S	760F, 760F, 518S, 18SAI, 18SBI, 1055F	18L, 18L, 519R, 18L
SEQID00003510	1722	ARGK	AK270F	AK950R
SEQID00006309	2176	COI	B1490, JER	BCOI2R, PAT
SEQID00001186	2858	MSP	MSP2F	MSP1R
SEQID00005570	1111	COI	JER, B1490, JERRY	B2232, PAT, PAT
SEQID00000955	1688	COI	B1490, JER, JER	PAT, B2232, PAT
SEQID00000060	0749	WG	WG1	WG2, WG2, WGB
SEQID00004975	1797	CAD	806F, 338F, 338F, 581F2, 581F4	1098R, 843R, 680R2, 843R, 680R
SEQID00000295	1313	COI	JER, B1490	B2232, PAT
SEQID00002350	2928	28S	NLF184	D3AR
SEQID00000179	1355	CAD	CD806F	1098R2
SEQID00004944	1500	18S	18SBI, 518S, 760F, 18SAI	18L, 909R
SEQID00000710	2067	WG	WG578F, WG550F, WG578F, B5WG1	WGABR, WGABRZ, WGABR, B3WG2
SEQID00003503	2009	TOPO	TP675F	TP932R
SEQID00003280	2213	TOPO	TP675F	TP932R
SEQID00001779	1236	COI	JER, B1490	B2232, PAT
SEQID00003260	2933	WG	WG550F	WGABRZ
SEQID00000864	2707	28S	D1	D3
SEQID00005611	2606	COI	LCO1490	HCO2198
SEQID00004959	1248	18S	18SBI, 518S, 18SAI, 760F	18L, 909R
SEQID00005295	1075	CAD	CD439F, CD821F, CD821F	CD1098R2, CD668R, CD1098R2
SEQID00005155	3559	COI	LC1490	HC2198
SEQID00001209	1647	28S	D1	D3
SEQID00005910	2744	COI	B1490	BCOI2R
SEQID00006654	1527	28S	D1	D3
SEQID00001531	1741	COI	LC1490	HC2198
SEQID00003203	2307	CAD	CD821F	C1098R
SEQID00004287	1427	28S	D1, D1	D3, D33-
SEQID00005078	2121	COI	B1490	BCOI2R
SEQID00001043	0631	WG	WG5	WG3
SEQID00003827	0319	28S	D1MOD	D33
SEQID00006049	2905	CAD	CD439F, CD821F	C1098R2, CD688R
SEQID00004764	2759	WG	WG550F	WGABRZ
SEQID00003905	0667	WG	WG1	WG2
SEQID00003049	0663	28S	D1	D33-
SEQID00000909	1294	COI	JER, B1490	B2232, PAT
SEQID00002184	1840	28S	D1	D3
SEQID00000375	2365	WG	WG550F	WGABRZ
SEQID00003377	1846	WG	WG578F	WGABR
SEQID00002579	1973	COI	B1490	BCOI2R
SEQID00004244	0553	WG	WG550F	WGABRZ
SEQID00006483	1840	COI	JER, B1490	B2232, PAT
SEQID00000954	3089	CAD	CD806F	C1098R2
SEQID00000548	2382	WG	WG578F	WGABR
SEQID00006488	1343	CAD	806F	1098R
SEQID00001939	1276	TOPO	TP675F	TP932R
SEQID00002375	2665	MSP	MSP2F	MSP1R
SEQID00003313	2737	TOPO	TP675F, TP643F	TP932R, TP932R
SEQID00003808	1844	WG	WG578F	WGABR
SEQID00002317	1753	COI	JER, LC1490	PAT, HC2198
SEQID00006481	2975	ARGK	AK183F, AK168F	AK933R, AK939R
SEQID00006346	1476	28S	D1	D3
SEQID00002049	2939	WG	WG550F	WGABRZ
SEQID00001013	1780	COI	LC1490, LC1490	HC2198, HC2198
SEQID00004396	0340	WG		
SEQID00003695	1562	COI	B1490, JER	PAT, B2232
SEQID00004321	3205	COI	LC1490, LC1490	HC2198, HC2198
SEQID00003484	1799	28S	D1	D3
SEQID00003627	1848	18S	760F, 18SBI, 518S, 18SAI	18L, 909R
SEQID00001073	1291	COI	JER, JER	PAT, PAT
SEQID00004381	2039	TOPO	TP675F, TP675F	TP932R, TP932R
SEQID00005894	2301	ARGK	AK270F	AK950R
SEQID00000779	0726	28S	D1	D33-
SEQID00004110	3100	MSP	MSP2F	MSP1R
SEQID00005730	2841	WG	WG578F	WGABR
SEQID00006316	2260	28S	D1	D3
SEQID00001916	2092	ARGK	AK183F	AK933R
SEQID00000714	3610	CAD	CD806F	C1098R2
SEQID00000853	1630	COI	B1490, JER, JER	B2232, PAT, PAT
SEQID00000438	0713	MSP	MSP2F	MSP1R
SEQID00006275	2679	WG	WG550F	WGABRZ
SEQID00001953	1417	WG	5WGB	B3WG2
SEQID00002282	2101	WG	WG578F	WGABR
SEQID00000931	1415	COI	LC1490	HC2198
SEQID00006593	1563	COI	JER, B1490	B2232, PAT
SEQID00004082	0444	28S	D1, D1	D33-, D3
SEQID00005228	0665	28S	D1	D33-
SEQID00004880	0471	18S		
SEQID00003465	2327	18S	760F, 518S, 18SBI, 18SAI	18L, 909R
SEQID00000328	1624	18S	518S, 18SBI, 18SAI, 760F	18L, 909R
SEQID00002188	0537	28S	D1MOD	D33
SEQID00001558	1941	WG	WG578F	WGABR
SEQID00004090	0813	COI	B1490, JERRY	BCOI2R, PAT
SEQID00005006	2486	28S	D1	D3
SEQID00003858	1664	28S	D1	D3
SEQID00004693	2044	COI	B1490, B1490	BCOI2R, BCOI2R
SEQID00001599	1481	COI	LC1490	HC2198
SEQID00001559	1498	CAD	581F4, 806F, 338F	680R2, 843R, 1098R
SEQID00000783	1293	28S	D1	D3
SEQID00002215	2334	28S	D1	D3
SEQID00001899	1905	POL2	PL859F	P1097R
SEQID00005991	1401	ARGK	AK270F	AK950R
SEQID00001573	1838	COI	JER, B1490	PAT, B2232
SEQID00000091	1988	WG	WG578F	WGABR
SEQID00000886	1665	COI	B1490, JER, LCO1490	B2232, PAT, HCO2198
SEQID00001219	0621	18S		
SEQID00001579	3062	CAD	CD821F	C1098R2
SEQID00001047	2854	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00005091	2192	CAD	806F	1098R
SEQID00004858	2089	CAD	CD806F	1098R2
SEQID00004067	1214	ARGK	AK270F	AK950R
SEQID00000613	1692	COI	JER	PAT
SEQID00002393	1109	28S	D1	D33-
SEQID00004258	1355	ARGK	AK183F, AK183F	AK933R, AK933R
SEQID00000102	1404	CAD	CD806F	1098R2
SEQID00000906	1757	WG	WG578F	WGABR
SEQID00004864	2316	AS		
SEQID00002312	1067	CAD	CD821F, CD439F	CD1098R2, CD668R
SEQID00005319	2421	WG	WG550F	WGABRZ
SEQID00002322	0612	28S	D1	D33-
SEQID00001683	2140	ARGK	AK183F	AK933R
SEQID00005362	2413	ARGK	AK183F	AK933R
SEQID00001090	1322	ARGK	AK270F	AK950R
SEQID00000733	1250	TOPO		
SEQID00000793	1407	TOPO	TP675F	TP932R
SEQID00005749	3285	18S		
SEQID00004072	1684	28S	D1	D3
SEQID00004306	1432	CAD	CD806F	1098R2
SEQID00003626	1250	POL2	PL859F	PL1097R
SEQID00002078	2835	ARGK	AK183F	AK933R
SEQID00006157	2115	COI	B1490	BCOI2R
SEQID00002278	2080	18S	518S, 18SBI, 760F, 18SAI	18L, 909R
SEQID00004796	2284	TOPO	TP675F	TP932R
SEQID00004977	1174	28S	D1MOD	D33
SEQID00004577	2030	28S	D1	D3
SEQID00003456	1423	28S	D1	D3
SEQID00005445	1213	28S	D1	D3
SEQID00002168	3062	COI	B1490, JER	PAT, BCOI2R
SEQID00005358	1321	MSP	MSP2F	MSP1R
SEQID00002030	2706	WG	WG550F	WGABRZ
SEQID00006343	2317	ARGK	AK270F	AK950R
SEQID00005830	2552	28S	NLF184	D3AR
SEQID00001771	1933	COI	B1490, B2679, JER	BCOI2R, BCOI2R, PAT
SEQID00000462	2831	COI	COS2F	COS2R
SEQID00002289	4034	CAD	CD806F	C1098R2
